Windows version,Cipher suite string,Allowed by SCH_USE_STRONG_CRYPTO,TLS/SSL Protocol versions,Comment
10 v1507,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,TLS 1.2,
10 v1507,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,TLS 1.2,
10 v1507,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384,True,TLS 1.2,
10 v1507,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,True,TLS 1.2,
10 v1507,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,True,TLS 1.2,
10 v1507,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,True,TLS 1.1,
10 v1507,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,True,TLS 1.0,
10 v1507,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,True,TLS 1.2,
10 v1507,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,True,TLS 1.1,
10 v1507,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,True,TLS 1.0,
10 v1507,TLS_DHE_RSA_WITH_AES_256_GCM_SHA384,True,TLS 1.2,
10 v1507,TLS_DHE_RSA_WITH_AES_128_GCM_SHA256,True,TLS 1.2,
10 v1507,TLS_DHE_RSA_WITH_AES_256_CBC_SHA,True,TLS 1.2,
10 v1507,TLS_DHE_RSA_WITH_AES_256_CBC_SHA,True,TLS 1.1,
10 v1507,TLS_DHE_RSA_WITH_AES_256_CBC_SHA,True,TLS 1.0,
10 v1507,TLS_DHE_RSA_WITH_AES_128_CBC_SHA,True,TLS 1.2,
10 v1507,TLS_DHE_RSA_WITH_AES_128_CBC_SHA,True,TLS 1.1,
10 v1507,TLS_DHE_RSA_WITH_AES_128_CBC_SHA,True,TLS 1.0,
10 v1507,TLS_RSA_WITH_AES_256_GCM_SHA384,True,TLS 1.2,
10 v1507,TLS_RSA_WITH_AES_128_GCM_SHA256,True,TLS 1.2,
10 v1507,TLS_RSA_WITH_AES_256_CBC_SHA256,True,TLS 1.2,
10 v1507,TLS_RSA_WITH_AES_128_CBC_SHA256,True,TLS 1.2,
10 v1507,TLS_RSA_WITH_AES_256_CBC_SHA,True,TLS 1.2,
10 v1507,TLS_RSA_WITH_AES_256_CBC_SHA,True,TLS 1.1,
10 v1507,TLS_RSA_WITH_AES_256_CBC_SHA,True,TLS 1.0,
10 v1507,TLS_RSA_WITH_AES_128_CBC_SHA,True,TLS 1.2,
10 v1507,TLS_RSA_WITH_AES_128_CBC_SHA,True,TLS 1.1,
10 v1507,TLS_RSA_WITH_AES_128_CBC_SHA,True,TLS 1.0,
10 v1507,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,True,TLS 1.2,
10 v1507,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,True,TLS 1.2,
10 v1507,TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384,True,TLS 1.2,
10 v1507,TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256,True,TLS 1.2,
10 v1507,TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA,True,TLS 1.2,
10 v1507,TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA,True,TLS 1.1,
10 v1507,TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA,True,TLS 1.0,
10 v1507,TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA,True,TLS 1.2,
10 v1507,TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA,True,TLS 1.1,
10 v1507,TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA,True,TLS 1.0,
10 v1507,TLS_DHE_DSS_WITH_AES_256_CBC_SHA256,True,TLS 1.2,
10 v1507,TLS_DHE_DSS_WITH_AES_128_CBC_SHA256,True,TLS 1.2,
10 v1507,TLS_DHE_DSS_WITH_AES_256_CBC_SHA,True,TLS 1.2,
10 v1507,TLS_DHE_DSS_WITH_AES_256_CBC_SHA,True,TLS 1.1,
